trip_distance,duration_seconds,MPH
12.89,520,89.23846391531139
105.24,5313,71.30886360052142
97.42,5428,64.61164211647072
62.39,3655,61.45116218953061
7.52,448,60.428571275302346
12.04,728,59.53846134982266
10.76,651,59.50230541317144
3.28,199,59.336682899513434
29.54,1793,59.31065437584966
3.78,232,58.65517196984127
8.54,525,58.55999973842076
3.61,225,57.7599983215332
6.77,422,57.75355433965746
34.8,2173,57.65301300203312
9.88,631,56.367671017412526
114.25,7354,55.92874626053848
29.15,1901,55.2025242644445
6.78,443,55.09706716774279
75.15,4915,55.04374475954508
61.06,4018,54.70781606367538
7.74,513,54.31578786749589
47.26,3146,54.080099795778615
18.26,1219,53.92616966691929
36.57,2442,53.91154746165732
10.74,718,53.849581025104996
5.39,361,53.75069118933004
133.3,8961,53.55206014801117
9.4,632,53.544301624539536
11.74,790,53.49873313420935
48.58,3270,53.48257082317947
97.34,6584,53.22357029410788
0.99,67,53.194030363168295
9.33,633,53.061610940508366
49.74,3378,53.00888278344596
14.1,958,52.98538765479229
16.33,1110,52.96216191472234
12.2,830,52.915661823318665
9.95,678,52.83185739432816
9.57,654,52.67889740270212
4.5,308,52.5974025974026
19.57,1343,52.458673791040354
12.3,845,52.40236767650356
12.15,836,52.320572519986825
35.76,2461,52.31044045409165
23.1,1591,52.26901406240793
6.46,446,52.14349806576031
11.02,761,52.13140821018295
28.93,1999,52.100050574603706
21.58,1492,52.06970490974651
26.09,1806,52.00664482243433
10.25,710,51.971830985915496
30.09,2086,51.929051078291664
11.74,814,51.9213749091221
11.91,828,51.78260803222656
13.54,942,51.7452227841517
17.56,1223,51.68928706246327
23.11,1610,51.67453552625194
13.23,922,51.657265023916246
13.4,934,51.648820799474294
53.15,3708,51.60194322900865
132.27,9235,51.56166923452727
11.2,783,51.494251996621315
17.62,1234,51.40356808852531
5.91,415,51.26746855586408
14.65,1029,51.253642980280844
11.55,813,51.143912283696814
15.25,1074,51.117318435754186
8.08,570,51.03157846551193
10.63,750,51.024000549316405
11.38,804,50.95522439301904
